Model,CV Mean R2,CV Std Dev,Validation R2,Validation RMSE,Test R2,Test RMSE
Extra Trees,0.9646061783374694,0.004884078341635186,0.9795060303897474,1.4102530722797657,0.9691970843453541,1.6610379287552077
Random Forest,0.9532700612282691,0.00807074119237524,0.9721914833166105,1.6427554724461646,0.9559326673373181,1.986744493974723
Linear Regression,0.9530258320284224,0.0034935755581795218,0.9727098019032179,1.627373930815741,0.9463335249215813,2.192477633026706
Ridge,0.9397660281012687,0.005386223836237573,0.9608174838755802,1.9499800630505546,0.9341886772290358,2.4279176152694544
KNN Regressor,0.9307178949326882,0.009022598640849437,0.9633762358413078,1.8852350257881625,0.929549705282408,2.5120312813717574
SVR,0.84600954375077,0.013000835644073316,0.8949781150998137,3.192448609205149,0.8777987125879333,3.308426773684523
Lasso,0.6607880667971573,0.02518348965529987,0.710933411152334,5.296426616248665,0.6662408777275295,5.467643730895812
